ledasila_index, 0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
1,0.0,0.0,0.0,0.03288455495491984,0.014788556511396144,-0.02000050188413394,0.0510092028023587,0.08398792426823593,-0.025528694137633205,0.04665305593816027,0.15418899521661453,-0.027377032080324302,0.0369460686153591,0.20400539326584755,-0.02535783510203381,0.02663563323132059,0.15131470370669942,-7.846501373398315e-19,0.012476100605853021,0.20692732506986752,-0.017015108436615845,0.016557224620640444,0.1533323864628876,-0.028377327466522592,0.02013010088855245,0.12067060799822109,-0.0319855367811425,6.1380749538067594e-18,0.151108544705551,0.003793368149513516,-0.012049124999416561,0.19927879207612376,-0.013667603918612211,-0.0012464704540956066,0.1321925725860649,-0.02033282896894704,0.004069705335634586,0.11370181393069144,-0.017863086492454296,-0.025054226128789093,0.14523231844159473,0.0026024266444012287,-0.03794549038721397,0.19029413845343257,-0.01617896405890483,-0.023121421489220757,0.12513040349491575,-0.013139555656280048,-0.015063261131272213,0.10541212296151223,-0.003694257362966666,-0.0504682124651643,0.1350638401321321,1.235282592883301e-19,-0.05979166725893573,0.17429054683286646,-0.009458311300027647,-0.04708615668695444,0.1294961796614565,-0.005858157524898652,-0.03864352527712516,0.1093119164434675,0.0010865413181501892
2,0.0,0.0,0.0,0.030602586623100800,0.030006375022594200,-0.021436693323132700,0.059933809548131800,0.0867922780632942,-0.02820765006514750,0.08656979965216010,0.12521307522556500,-0.03445592715774180,0.11316840757021000,0.1412566745761280,-0.03808019483931590,0.03194212412589790,0.16488080594389600,-1.07739697225253E-18,0.003380569780892880,0.20366388401498000,-0.016416060931589400,0.009204730586661710,0.14558639555202200,-0.0281033078695819,0.02076852424301070,0.12555923799338200,-0.03250884730910540,6.88533014128859E-18,0.16633640168828300,0.0037474837465199500,-0.022320697584002000,0.19587440984826000,-0.016129774275205300,-0.010347193970775400,0.12975082917148400,-0.024547823559164200,0.0028694454480088500,0.12150031015391100,-0.023741116561846700,-0.02769408555776800,0.16002271604783600,0.0027805592452853800,-0.04810584014503570,0.18682426869712000,-0.019339060215765900,-0.03386186849363160,0.12572416128981000,-0.018841112428175600,-0.019886486359177700,0.11256795761878700,-0.011416577609252500,-0.05067200402819850,0.14906963762197700,-1.49205516869985E-18,-0.06682007333918050,0.17450789923023600,-0.011185212431794400,-0.05393449184208870,0.12771626849550400,-0.008958036161007370,-0.04015675650846420,0.10989687635956300,-0.003232153163287930
3,0.0,0.0,0.0,0.022605351260121800,0.023458995293060700,-0.023162631983535900,0.03604307331761830,0.07104084433733910,-0.03324568778881600,0.016476736420149700,0.11143958246290100,-0.03652682132471790,-0.01412939741155690,0.12187220175802100,-0.03638209945169820,0.027255794012679700,0.14763813412668100,-2.61228670421944E-18,0.02287927323038880,0.17767301135546700,-0.021457763205541700,0.020124921234802600,0.13345359452838500,-0.038152788189341900,0.014617407687903800,0.11559036334105400,-0.044593862353678400,-3.70327406187857E-19,0.1550836822723190,0.005669588413785520,-0.005579594629523290,0.18760007039683800,-0.01555675132708100,-0.0020760557047381100,0.13067506689202900,-0.025293958130914300,-0.005537121490849230,0.1215636183967830,-0.021421179200819000,-0.025413423971358500,0.14926643107239100,0.004446660846433740,-0.032970164271873400,0.1708932557120650,-0.015081117667504500,-0.022182514028543300,0.11962592739786600,-0.016649410883855500,-0.01993177428406000,0.11466864480351400,-0.00777141395493779,-0.050406357433857900,0.13604218805320800,-7.41379677689732E-18,-0.05216318647411410,0.14528912157424200,-0.010248195395424700,-0.040761279003444200,0.11107000530203200,-0.010847151686102800,-0.037329438988170700,0.10648724691854900,-0.005037789611251740
4,0.0,0.0,0.0,0.024860332616512200,0.018018204670561500,-0.02780747075929290,0.03922071146857480,0.06975759408733930,-0.038574701720133,0.030035312255284600,0.12752432064497000,-0.0450278007642805,0.011129199242212500,0.172157351781095,-0.04707597136204280,0.0302157638792163,0.14544813642302800,-1.73090887987033E-18,0.029079951979772300,0.18603720654527100,-0.02617652331836530,0.027984353116563000,0.15089529885023100,-0.04085190296285290,0.02281216223078640,0.12590072312233700,-0.04434078901427880,1.69218047284208E-18,0.1515175132758130,0.006117035583532790,-0.005627940131678020,0.19471868647793200,-0.019268857364729300,0.003616752027849150,0.12565462468709100,-0.02736817714975450,0.0016335562074036700,0.12228813157146700,-0.0182140410298043,-0.028274691863619200,0.1495770698799240,0.004688749592383000,-0.03262374018313210,0.17749488065929500,-0.022579904912728300,-0.017741070490639400,0.11349739232526700,-0.019959499599745600,-0.01692226634790710,0.11198166911190300,-0.004199006302344680,-0.055000374962377800,0.14281856374134800,-1.58499711494812E-18,-0.05418950418327290,0.15939978726968300,-0.014626877954398500,-0.04121409213429140,0.11411199907187900,-0.012205939199697600,-0.03962085388205520,0.1074473867929050,-0.0017032818821590500
5,0.0,0.0,0.0,0.024005399110261400,0.024357655203431600,-0.016192965907946500,0.028159327474378500,0.07720224717872780,-0.02194078397953670,0.009296976875342880,0.1314950896904990,-0.02376477604001110,-0.015012472879937100,0.1731844000573980,-0.023253737800055000,0.02942168277319520,0.12481148467919900,-7.44220135625816E-19,0.02554116502590260,0.16805041966449600,-0.01923060312626150,0.019659961628092800,0.15656073013560900,-0.03439775112319960,0.017190734993847,0.12620370821471900,-0.042000215887388600,-1.15536326572654E-17,0.1388840401958660,0.00336657972062659,-0.007251525062192140,0.1970208866990840,-0.014841942733704100,-0.0070435236827481500,0.17350632490872000,-0.027827311367302600,-0.003063216167659450,0.13771739967850200,-0.0323286177055579,-0.02795953987855020,0.13823867005769600,0.002514087601324780,-0.03669846874416020,0.17228452252358100,-0.017320921517634000,-0.023940755984372400,0.12119649292803600,-0.023013675247131300,-0.009896543218206680,0.07992571771696760,-0.021254572004046700,-0.05439151504286100,0.12710130471960000,-2.67245543317541E-18,-0.05701999017946260,0.148969668161232,-0.013118011287927500,-0.041610703869557100,0.10908318169658100,-0.014428857594408400,-0.026109699299511100,0.07560977618101160,-0.01214467447940490
53,0.0,0.0,0.0,0.028052190960927800,0.037676376070507200,-0.014500735109387700,0.038230028247044200,0.11109961575819700,-0.01997738028535670,0.014547461783903200,0.15249865671155700,-0.01746241526236250,-0.011184321982131500,0.17624583099165900,-0.014866951214014500,0.021998865666531500,0.1627180944283990,3.09152009168333E-19,0.028635039202003300,0.20935532839101300,-0.01865794479806400,0.03739523939443150,0.18353210220141800,-0.035708859880033500,0.04053086797412090,0.14944121908412100,-0.04499792813392930,-1.488332522779E-19,0.16644280737868900,0.001729939364895070,0.009537223509515780,0.22289020461606100,-0.018095140072848900,0.021472720653471300,0.1893157932728360,-0.033289468098023000,0.02572286144463420,0.1530028826657020,-0.038712666194738400,-0.023677865260219300,0.15868605900605,0.0010805514366389600,-0.014329323352883100,0.2214739460595010,-0.01998713888522150,-0.000672327301397574,0.176207512257085,-0.028851742959076000,0.004698891139509800,0.13526160446913500,-0.02970880013793720,-0.04808423248721230,0.13888704786308500,-4.15339516491695E-18,-0.02753021453268070,0.1525108700903750,-0.02340415995202810,-0.0191548987393147,0.10858390647966400,-0.02893743758869590,-0.022124105265292400,0.07609008669182190,-0.026724145364597000
54,0.0,0.0,0.0,0.0258994464386679,0.04319344722163500,-0.01586120126167390,0.029250920456349900,0.10657184064181100,-0.021616099193822400,0.011419918002392600,0.1474296967966180,-0.01815805046973620,-0.008989665935300540,0.15701696451415900,-0.009663963690808510,0.01603858049977970,0.1504738067499660,5.13655028914725E-18,0.01100991150651280,0.2057568305963140,-0.01684469148573680,0.02418785642449310,0.18075437258820400,-0.03506910995608940,0.03149717443356290,0.14512714196409000,-0.041985370640702300,-2.92095957810248E-18,0.15507200431936600,-0.0005394839624872640,-0.005314709510796620,0.21652691903666200,-0.01985878656285110,0.012298979448826500,0.18402326558762600,-0.038853395479645200,0.02133593389431880,0.1440846783779450,-0.04276313521952930,-0.019491609786371300,0.15344940928233300,-0.0011370403838966200,-0.024650520037686000,0.2151612660899230,-0.018276239991283100,-0.004973564895549150,0.18221021178825300,-0.03279794782618350,0.005452258089589420,0.14347164905141100,-0.03404770780943930,-0.04162713769080520,0.14710634160950500,-3.90402550357093E-18,-0.04186790695557130,0.19869922777598200,-0.013218345139008800,-0.024479965548162700,0.18009543288608400,-0.022690118215206800,-0.013224371315063500,0.147459463584989,-0.024016726531649400
57,0.0,0.0,0.0,0.029097756602016800,0.03975370977368790,-0.017848439729230000,0.043836547423755500,0.1074226495900260,-0.02330198329968440,0.043408553400759000,0.1676534787864130,-0.02521825063248810,0.044970474273725900,0.21268634539338800,-0.02769932219156840,0.023602048245868200,0.18775139564576300,2.93256074146039E-18,0.018556371179233700,0.2613027527681600,-0.006222162727606010,0.012567755832113400,0.3043582225754830,-0.012826207539275300,0.005796638451069380,0.3418346365260980,-0.01671632669868830,-1.59008353367765E-18,0.1910017425634850,0.0032727300011304800,-0.004607649879471090,0.2717293798057800,-0.0003062968894421070,-0.00932813542042227,0.32039547929446800,-0.005461108944928860,-0.014226704221671500,0.36232899550818400,-0.008520581619052110,-0.022024254990581000,0.18019802650819700,0.0027269578860433200,-0.02741310681596310,0.2581202750574350,-0.0012049601950733800,-0.030843252018671500,0.30282302145837900,-0.0031673067549022000,-0.0338775926005874,0.3414400749632530,-0.0040396012251437400,-0.04482431049814460,0.1573237930329030,2.74152591223189E-18,-0.05010163030399040,0.21521557415302900,-0.004021782975780680,-0.050779669897475800,0.2520479529351080,-0.004276796437539840,-0.05052548210985980,0.28578094079849500,-0.00392396585293071
59,0.0,0.0,0.0,0.028048061986675300,0.042048383053031600,-0.014394913832340600,0.03649424073196710,0.10739867685713700,-0.020633953239235500,0.03402028773171010,0.15892911221047300,-0.024164546961242400,0.03879029966557390,0.20058228301198800,-0.02826784211461630,0.020701196224687400,0.16002543179833500,-4.37692996715582E-18,0.024204525114373600,0.1973972010325920,-0.008297205326748460,0.026981899607579900,0.21745598804344000,-0.020346141609232100,0.030247071259177700,0.23676053328086000,-0.03169525483566400,-2.40666560598143E-18,0.16482597012538500,0.0009362619804941780,0.006472253594648630,0.20722909249974700,-0.008724363236702440,0.01031310362078400,0.2274186950971120,-0.021986644908125900,0.016267690666929800,0.24778360599037400,-0.034201817765960500,-0.018587711202556000,0.15818113551278500,-0.0003225011263900000,-0.015409717590581800,0.20446377960664000,-0.01221519322131700,-0.009932659476081570,0.22709014260612600,-0.021519785818754700,-0.002242599128783490,0.24427853104061100,-0.029535215787777600,-0.041479139041864200,0.14001061301548500,2.60097179420448E-19,-0.03873073895871740,0.1865626028227840,-0.012071941840379300,-0.032482962425811,0.21003150407813800,-0.01870238790287430,-0.0235517247703456,0.23152771907936600,-0.02531838976308080
60,0.0,0.0,0.0,0.027816413445300100,0.03764076037341480,-0.01391659606389590,0.03690974544344990,0.10491462456705900,-0.020838750973518700,0.033940060045786000,0.15835258866053500,-0.025309292467635200,0.03625603822376070,0.2008089774367920,-0.028986643603643500,0.019415338012339800,0.14837147459808400,2.93572862578693E-18,0.021249655819631500,0.1872402494970610,-0.009679768428502010,0.025769886071851100,0.20497792309188300,-0.021518463881793500,0.03212724980334440,0.21448771148790300,-0.030657967735220900,1.9697889277309E-18,0.15075758015499,0.0013060276751729800,0.003758530686722130,0.19318188558823800,-0.009414652406123580,0.009335361180537520,0.2104136272579210,-0.02208286883359710,0.01774350866801630,0.2154371336688130,-0.031152711377273500,-0.018814146591445800,0.14443915889243200,0.00045499699242093300,-0.018492863617105200,0.1911067208679180,-0.011853178314935600,-0.01180418096011460,0.20709300554193300,-0.02083062929857810,-0.0018587156274805100,0.20629710156083600,-0.025978928866730800,-0.04015583247313390,0.1311761159607980,2.91999469171834E-19,-0.038101975069363900,0.17475581452456900,-0.012083253701466000,-0.029684163848702600,0.1934526661044240,-0.019067543666097500,-0.01866842338675500,0.1993441810215470,-0.023472291678707000
